Date,spec,label,sector_col,exclude_psu,Promoter_Group,group_display,n_stocks,group_mean_sector_residual,group_ss,group_r2_contribution,share_of_group_r2
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Adani,Adani,2,0.047882834274516645,0.004585531636321652,0.02371774704754563,0.5101300312186157
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Bajaj,Bajaj,2,-0.00754947607836565,0.0001139891781156304,0.0005895862698426064,0.012681038449307515
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Birla,Birla,4,-0.001914649730364269,1.4663534359935874e-05,7.58442044139803e-05,0.0016312850578891142
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,GOI_PSU,PSU,29,-0.009330997802753215,0.0025249580798545747,0.013059841648303613,0.2808958799671793
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Mahindra,Mahindra,3,0.005070236691454483,7.71219003221139e-05,0.00039889763472076043,0.008579637114992803
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_ADAG,Reliance (ADAG),4,-0.018948280252867884,0.0014361492981648921,0.007428195567680913,0.1597683637169567
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_RIL,Reliance (RIL),2,-0.007372512504471518,0.00010870788125717779,0.0005622698160688285,0.012093506109559369
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Tata,Tata,9,-0.003768659411342778,0.00012782514382832244,0.0006611500406239112,0.014220258365499627
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,Adani,Adani,2,0.02021680533698963,0.0008174384360674649,0.0041833522316051435,0.08149834630601993
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,Bajaj,Bajaj,2,0.04358817607363055,0.003799858186851638,0.019446290416954327,0.3788446257991239
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,Birla,Birla,4,-0.006468154874782358,0.00016734810993668313,0.0008564266839793518,0.016684552151585
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,GOI_PSU,PSU,29,-0.0027161110621209943,0.00021394051975150505,0.0010948696699886495,0.02132980026175212
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,Mahindra,Mahindra,3,-0.0020059558093317546,1.2071576126975445e-05,6.177793054693878e-05,0.0012035322150847963
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_ADAG,Reliance (ADAG),4,-0.00553995053193475,0.00012276420758513648,0.0006282625077347503,0.012239551582489855
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_RIL,Reliance (RIL),2,0.03811086876643918,0.0029048766362654993,0.014866100763894078,0.28961525618681955
2015-01-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,Tata,Tata,9,-0.014876623372927729,0.0019918253068194566,0.010193436563047881,0.19858433549712484
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,Adani,Adani,2,0.049044997698293714,0.004810823598451272,0.01733222823071135,0.20541587017664287
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,Bajaj,Bajaj,2,-0.02407030327679523,0.0011587589996737984,0.004174727057795795,0.04947749244425356
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,Birla,Birla,4,0.006924166165286608,0.0001917763083379994,0.000690923430746355,0.008188597326494414
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,GOI_PSU,PSU,29,-0.0034445101599156268,0.00034407485701109733,0.0012396180878645278,0.014691545992580511
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,Mahindra,Mahindra,3,-0.07280874913403544,0.01590334185138872,0.05729587563510512,0.6790518792190393
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_ADAG,Reliance (ADAG),4,-0.0024665294036682484,2.433506919664018e-05,8.767334006220959e-05,0.0010390755995389035
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_RIL,Reliance (RIL),2,0.004905316317546598,4.812425635037784e-05,0.00017337999979182925,0.002054842750417847
2015-01-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,Tata,Tata,9,0.01021266519835001,0.0009386867740823049,0.0033818603140597955,0.04008069649103255
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,Adani,Adani,2,0.05752055558854669,0.0066172286304301805,0.016346042137423623,0.2868312860598921
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,Bajaj,Bajaj,2,0.02245254389255659,0.0010082334544943604,0.0024905632632574773,0.0437030235091673
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,Birla,Birla,4,-0.018754998649530646,0.0014069998973755854,0.0034756060118716035,0.0609880076070667
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,GOI_PSU,PSU,29,-0.01916888291206393,0.010655936090796079,0.026322557384952015,0.46189364517942627
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,Mahindra,Mahindra,3,-0.0049395591424286865,7.319773356465246e-05,0.00018081485528692297,0.003172838846532903
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_ADAG,Reliance (ADAG),4,0.012475582607385863,0.0006225606455748346,0.0015378647337150175,0.026985597837640048
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_RIL,Reliance (RIL),2,0.023233461868426092,0.0010795875007832184,0.002666823796549271,0.04679594563800112
2015-01-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,Tata,Tata,9,0.01335982218754719,0.0016063636399459035,0.00396807926899058,0.06962965532227344
2015-02-06,coarse_all,Coarse | With PSU,Sector_Coarse,False,Adani,Adani,2,-0.0315165504209176,0.001986585900868482,0.007359923745433659,0.2546396085485105
2015-02-06,coarse_all,Coarse | With PSU,Sector_Coarse,False,Bajaj,Bajaj,2,0.01053051002361315,0.00022178328271483402,0.0008216649720908278,0.028428072638801923
2015-02-06,coarse_all,Coarse | With PSU,Sector_Coarse,False,Birla,Birla,4,0.019885701222565597,0.0015817644524525874,0.005860137106680987,0.20274979340807328
2015-02-06,coarse_all,Coarse | With PSU,Sector_Coarse,False,GOI_PSU,PSU,29,-0.0038175660274835568,0.00042264050085170094,0.0015658028463005483,0.05417385256110723
2015-02-06,coarse_all,Coarse | With PSU,Sector_Coarse,False,Mahindra,Mahindra,3,-0.009793684337036743,0.00028774875868055647,0.0010660545415157926,0.036883495064927246
2015-02-06,coarse_all,Coarse | With PSU,Sector_Coarse,False,Reliance_ADAG,Reliance (ADAG),4,-0.02695498318317015,0.0029062844736199426,0.010767232415688357,0.3725261215080927
