Date,spec,label,sector_col,exclude_psu,baseline_corr,same_sector_mean,same_sector_excess,same_group_mean,same_group_excess,n_tickers,n_baseline_pairs,n_sector_pairs,n_group_pairs
2016-01-01,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.24863385870046592,0.32168770303459043,0.07305384433412451,0.25869074168495865,0.010056882984492727,162,13041,400,338
2016-01-08,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.25795277965371766,0.3316325578935347,0.07367977823981703,0.2633082557361623,0.005355476082444632,162,13041,400,338
2016-01-15,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.28030606443455675,0.36018375036300626,0.07987768592844952,0.30017704476825346,0.01987098033369672,162,13041,400,338
2016-01-22,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.27810493121968705,0.3595169659914766,0.08141203477178954,0.29269684401669716,0.01459191279701011,162,13041,400,338
2016-01-29,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.282139981413877,0.365083428056092,0.08294344664221504,0.29674174403526044,0.014601762621383463,162,13041,400,338
2016-02-05,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.27760104556574455,0.3558533421676401,0.07825229660189553,0.29282481852285497,0.015223772957110415,162,13041,400,338
2016-02-12,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3074303472958631,0.3921440938723695,0.08471374657650638,0.34097467562922235,0.03354432833335924,162,13041,400,338
2016-02-19,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3125441914103672,0.39556538958064263,0.08302119817027542,0.3452887380132115,0.032744546602844316,162,13041,400,338
2016-02-26,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.31627552745237575,0.4001456037821736,0.08387007632979787,0.3470212372642632,0.030745709811887456,162,13041,400,338
2016-03-04,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.34397745430271415,0.4380278180079711,0.09405036370525693,0.38224736722770997,0.03826991292499582,162,13041,400,338
2016-03-11,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.34457211324480774,0.43736304522237196,0.09279093197756422,0.38483605132351084,0.0402639380787031,162,13041,400,338
2016-03-18,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.34403785921931557,0.43882624407649923,0.09478838485718366,0.38839821546905606,0.044360356249740496,162,13041,400,338
2016-03-25,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.34463972007597915,0.4379465280320652,0.09330680795608604,0.38788893909466,0.04324921901868084,162,13041,400,338
2016-04-01,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3393897987560735,0.4334660199254611,0.09407622116938757,0.3809048638845861,0.04151506512851261,162,13041,400,338
2016-04-08,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.33224404331258545,0.4242936500162556,0.09204960670367013,0.36870469743615686,0.03646065412357141,162,13041,400,338
2016-04-15,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.339476228790054,0.434659836283453,0.09518360749339899,0.3830097765688151,0.04353354777876106,162,13041,400,338
2016-04-22,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.33033443401751345,0.4292270576143562,0.09889262359684275,0.3763051592084984,0.04597072519098494,162,13041,400,338
2016-04-29,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3191967961740297,0.41369241963088693,0.09449562345685725,0.3553489314053495,0.036152135231319826,155,11875,395,421
2016-05-06,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3212575596566084,0.4156147823549776,0.09435722269836921,0.35649423833779004,0.03523667868118163,155,11875,395,421
2016-05-13,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.31868040764686484,0.4134538551954854,0.09477344754862055,0.35662496156561324,0.0379445539187484,155,11875,395,421
2016-05-20,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3198639017513518,0.41328213124805613,0.09341822949670431,0.35608172364211954,0.03621782189076772,155,11875,395,421
2016-05-27,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3253180927910473,0.41993915067561566,0.09462105788456837,0.36272404478504194,0.03740595199399466,155,11905,397,421
2016-06-03,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3147512902911261,0.4110550418376464,0.09630375154652032,0.3528100005752031,0.038058710284077035,155,11905,397,421
2016-06-10,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.30904062472052685,0.4056585279810893,0.09661790326056247,0.34893910543435014,0.03989848071382329,155,11905,397,421
2016-06-17,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3027507705900345,0.3969724054364322,0.09422163484639767,0.3475304831629409,0.04477971257290636,155,11905,397,421
2016-06-24,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.30205010445952196,0.39526779138502394,0.09321768692550197,0.3465905926751181,0.04454048821559614,155,11905,397,421
2016-07-01,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3163534008274318,0.4069030930932525,0.09054969226582071,0.36903913238006486,0.052685731552633064,155,11905,397,421
2016-07-08,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.31706958199712854,0.40760137914936434,0.0905317971522358,0.37151912439733886,0.05444954240021033,155,11905,397,421
2016-07-15,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3101126851994473,0.4043977283630852,0.0942850431636379,0.3715349822377253,0.061422297038278006,155,11905,397,421
2016-07-22,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.30899226192161505,0.40144674336448216,0.09245448144286711,0.3666896108194607,0.05769734889784567,155,11905,397,421
2016-07-29,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.31116183364398164,0.4067576185452639,0.09559578490128223,0.37187018118108267,0.060708347537101026,155,11905,397,421
2016-08-05,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.31033358809879746,0.41184653395712306,0.1015129458583256,0.374838753028455,0.06450516492965752,155,11905,397,421
2016-08-12,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.30835222963187875,0.40651753667103185,0.0981653070391531,0.36885716630330284,0.06050493667142409,155,11905,397,421
2016-08-19,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.3075697244012655,0.40764956513594547,0.10007984073467996,0.37061438613542824,0.06304466173416273,155,11905,397,421
2016-08-26,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.2943558288019513,0.39370406369706523,0.09934823489511391,0.36268933174960694,0.06833350294765561,155,11905,397,421
2016-09-02,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.28403161737114924,0.3874291040848436,0.10339748671369436,0.3489382828419608,0.06490666547081159,155,11905,397,421
2016-09-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.28482342035786895,0.38357501469347666,0.0987515943356077,0.34621694990275126,0.06139352954488231,155,11905,397,421
2016-09-16,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.28838086454926704,0.38892864342915884,0.1005477788798918,0.35935964546678795,0.07097878091752091,155,11905,397,421
2016-09-23,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.2902669537131901,0.38989494915051043,0.09962799543732032,0.3708851075596005,0.08061815384641041,155,11905,397,421
2016-09-30,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.29559455119475625,0.3945463161719703,0.09895176497721403,0.37435014350024964,0.0787555923054934,154,11751,397,394
2016-10-07,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.29824463527356504,0.3961927016695892,0.09794806639602416,0.373106331170533,0.07486169589696795,154,11751,397,394
2016-10-14,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.30043547293070727,0.39905505042404316,0.09861957749333589,0.374181637447301,0.07374616451659372,154,11751,397,394
2016-10-21,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.2811219012400325,0.3744660334148241,0.0933441321747916,0.364725516122038,0.08360361488200552,161,12868,431,417
2016-10-28,coarse_all,Coarse | With PSU,Sector_Coarse,False,0.2602386259874857,0.36107389172728355,0.10083526573979784,0.3413639123642323,0.0811252863767466,175,15199,473,486
