Date,Ticker,In_Nifty200,Adj_Close,Weekly_Return,Sector_Coarse,Sector_Fine,Promoter_Group
2015-01-02,HDIL,True,69.9000015258789,0.032496376319169684,CONSTRUCTION,Real Estate - Diversified,Independent
2015-01-02,HEROMOTOCO,True,2192.0625,0.0005490451550915765,AUTOMOBILE,Auto Manufacturers,Independent
2015-01-02,HEXAWARE,True,,,IT,,Independent
2015-01-02,HINDALCO,True,148.19886779785156,0.053289455133836094,METALS,Aluminum,Independent
2015-01-02,HINDPETRO,True,49.025630950927734,0.009424602979802632,OIL & GAS,Oil & Gas Refining & Marketing,Independent
2015-01-02,ICICIBANK,True,302.36968994140625,0.032340819954542965,FINANCIAL SERVICES,Banks - Regional,Independent
2015-01-02,IDBI,True,72.02449035644531,0.07848630710855042,BANKS,Banks - Regional,Independent
2015-01-02,IDEA,True,95.33686828613281,0.06528987091793903,TELECOM,Telecom Services,Independent
2015-01-02,IDFC,True,,,FINANCIAL SERVICES,,Independent
2015-01-02,IGL,True,38.62838363647461,-0.02815119812129563,OIL & GAS,Utilities - Regulated Gas,Independent
2015-01-02,INDIACEM,True,82.54364013671875,0.03597129466441018,CEMENT AND CEMENT PRODUCTS,Building Materials,Independent
2015-01-02,INDIANB,True,174.75408935546875,0.042100265313873564,FINANCIAL SERVICES,Banks - Regional,Independent
2015-01-02,INDUSINDBK,True,768.3035888671875,0.04009207889336763,FINANCIAL SERVICES,Banks - Regional,Independent
2015-01-02,INFY,True,374.9980773925781,0.031220425587052958,IT,Information Technology Services,Independent
2015-01-02,INGVYSYABK,True,,,BANKS,,Independent
2015-01-02,IOB,True,63.849998474121094,0.06239600823974634,BANKS,Banks - Regional,Independent
2015-01-02,IOC,True,28.325828552246094,0.02090004015986402,OIL & GAS,Oil & Gas Refining & Marketing,Independent
2015-01-02,IPCALAB,True,352.56317138671875,-0.012234813828143176,PHARMA,Drug Manufacturers - Specialty & Generic,Independent
2015-01-02,IRB,True,11.527063369750977,0.07805550464218447,CONSTRUCTION,Infrastructure Operations,Independent
2015-01-02,ITC,True,161.72882080078125,0.0009512713539077122,CONSUMER GOODS,Tobacco,Independent
2015-01-02,JINDALSTEL,True,159.693115234375,0.08472881385796471,METALS,Steel,Independent
2015-01-02,JISLJALEQS,True,65.64962005615234,0.06035788075237991,PLASTIC AND PLASTIC PRODUCTS,Conglomerates,Independent
2015-01-02,JPASSOCIAT,True,27.600000381469727,0.061538476210374116,CONSTRUCTION,Conglomerates,Independent
2015-01-02,JPPOWER,True,12.600000381469727,0.04132231274684206,POWER,Utilities - Independent Power Producers,Independent
2015-01-02,JSWENERGY,True,90.24360656738281,0.006429335802635716,POWER,Utilities - Independent Power Producers,Independent
2015-01-02,JSWSTEEL,True,94.79456329345703,0.021838801312601186,METALS,Steel,Independent
2015-01-02,JUBLFOOD,True,133.7887420654297,0.016000893637962754,CONSUMER SERVICES,Restaurants,Independent
