Date,Ticker,In_Nifty200
2015-01-02,ABB,True
2015-01-02,ABIRLANUVO,True
2015-01-02,ACC,True
2015-01-02,ADANIENT,True
2015-01-02,ADANIPORTS,True
2015-01-02,AIAENG,True
2015-01-02,ALBK,True
2015-01-02,AMARAJABAT,True
2015-01-02,AMBUJACEM,True
2015-01-02,AMTEKAUTO,True
2015-01-02,ANDHRABANK,True
2015-01-02,APLLTD,True
2015-01-02,APOLLOHOSP,True
2015-01-02,APOLLOTYRE,True
2015-01-02,ARVIND,True
2015-01-02,ASHOKLEY,True
2015-01-02,ASIANPAINT,True
2015-01-02,AUROPHARMA,True
2015-01-02,AXISBANK,True
2015-01-02,BAJAJ-AUTO,True
2015-01-02,BAJFINANCE,True
2015-01-02,BANKBARODA,True
2015-01-02,BANKINDIA,True
2015-01-02,BATAINDIA,True
2015-01-02,BEL,True
2015-01-02,BHARATFORG,True
2015-01-02,BHARTIARTL,True
2015-01-02,BHEL,True
2015-01-02,BIOCON,True
2015-01-02,BOSCHLTD,True
2015-01-02,BPCL,True
2015-01-02,BRITANNIA,True
2015-01-02,CADILAHC,True
2015-01-02,CAIRN,True
2015-01-02,CANBK,True
2015-01-02,CARERATING,True
2015-01-02,CASTROLIND,True
2015-01-02,CENTURYTEX,True
2015-01-02,CESC,True
2015-01-02,CIPLA,True
2015-01-02,CMC,True
2015-01-02,COALINDIA,True
2015-01-02,COLPAL,True
2015-01-02,CONCOR,True
2015-01-02,CROMPGREAV,True
2015-01-02,CUMMINSIND,True
2015-01-02,DABUR,True
2015-01-02,DCBBANK,True
2015-01-02,DELTACORP,True
2015-01-02,DHFL,True
2015-01-02,DIVISLAB,True
2015-01-02,DLF,True
2015-01-02,DRREDDY,True
2015-01-02,EDELWEISS,True
2015-01-02,EICHERMOT,True
2015-01-02,EMAMILTD,True
2015-01-02,ENGINERSIN,True
2015-01-02,EXIDEIND,True
2015-01-02,FEDERALBNK,True
2015-01-02,GAIL,True
2015-01-02,GLAXO,True
2015-01-02,GLENMARK,True
2015-01-02,GMRINFRA,True
2015-01-02,GODREJCP,True
2015-01-02,GODREJIND,True
2015-01-02,GPPL,True
2015-01-02,GRASIM,True
2015-01-02,GSPL,True
2015-01-02,HAVELLS,True
2015-01-02,HCLTECH,True
2015-01-02,HDFC,True
2015-01-02,HDFCBANK,True
2015-01-02,HDIL,True
2015-01-02,HEROMOTOCO,True
2015-01-02,HEXAWARE,True
2015-01-02,HINDALCO,True
2015-01-02,HINDPETRO,True
2015-01-02,HINDUNILVR,True
2015-01-02,IBREALEST,True
2015-01-02,IBULHSGFIN,True
2015-01-02,ICICIBANK,True
2015-01-02,IDBI,True
2015-01-02,IDEA,True
2015-01-02,IDFC,True
2015-01-02,IFCI,True
2015-01-02,IGL,True
2015-01-02,INDHOTEL,True
2015-01-02,INDIACEM,True
2015-01-02,INDIANB,True
2015-01-02,INDUSINDBK,True
2015-01-02,INFRATEL,True
2015-01-02,INFY,True
2015-01-02,INGVYSYABK,True
2015-01-02,IOB,True
2015-01-02,IOC,True
2015-01-02,IPCALAB,True
2015-01-02,IRB,True
2015-01-02,ITC,True
2015-01-02,J&KBANK,True
2015-01-02,JINDALSTEL,True
2015-01-02,JISLJALEQS,True
2015-01-02,JPASSOCIAT,True
2015-01-02,JPPOWER,True
2015-01-02,JSWENERGY,True
2015-01-02,JSWSTEEL,True
2015-01-02,JUBLFOOD,True
2015-01-02,JUSTDIAL,True
2015-01-02,KARURVYSYA,True
2015-01-02,KOTAKBANK,True
2015-01-02,KPIT,True
2015-01-02,KSCL,True
2015-01-02,KTKBANK,True
2015-01-02,L&TFH,True
2015-01-02,LICHSGFIN,True
2015-01-02,LT,True
2015-01-02,LUPIN,True
2015-01-02,M&M,True
2015-01-02,M&MFIN,True
2015-01-02,MARICO,True
2015-01-02,MARUTI,True
2015-01-02,MAX,True
2015-01-02,MCLEODRUSS,True
2015-01-02,MINDTREE,True
2015-01-02,MOTHERSUMI,True
2015-01-02,MPHASIS,True
2015-01-02,MRF,True
2015-01-02,MUTHOOTFIN,True
2015-01-02,NATIONALUM,True
2015-01-02,NAUKRI,True
2015-01-02,NHPC,True
2015-01-02,NIITTECH,True
2015-01-02,NMDC,True
2015-01-02,NTPC,True
2015-01-02,OBEROIRLTY,True
2015-01-02,OFSS,True
2015-01-02,OIL,True
2015-01-02,ONGC,True
2015-01-02,ORIENTBANK,True
2015-01-02,PAGEIND,True
2015-01-02,PEL,True
2015-01-02,PERSISTENT,True
2015-01-02,PETRONET,True
2015-01-02,PFC,True
2015-01-02,PIDILITIND,True
2015-01-02,PIPAVAVDOC,True
2015-01-02,PNB,True
2015-01-02,POWERGRID,True
2015-01-02,PRESTIGE,True
2015-01-02,PTC,True
2015-01-02,RALLIS,True
2015-01-02,RAMCOCEM,True
2015-01-02,RAYMOND,True
2015-01-02,RCOM,True
2015-01-02,RECLTD,True
2015-01-02,RELCAPITAL,True
2015-01-02,RELIANCE,True
2015-01-02,RELINFRA,True
2015-01-02,REPCOHOME,True
2015-01-02,RPOWER,True
2015-01-02,SAIL,True
2015-01-02,SBIN,True
2015-01-02,SHREECEM,True
2015-01-02,SIEMENS,True
2015-01-02,SKSMICRO,True
2015-01-02,SOBHA,True
2015-01-02,SOUTHBANK,True
2015-01-02,SRTRANSFIN,True
2015-01-02,SSLT,True
2015-01-02,STAR,True
2015-01-02,SUNPHARMA,True
2015-01-02,SUNTV,True
2015-01-02,SUZLON,True
2015-01-02,SYNDIBANK,True
2015-01-02,TATACHEM,True
2015-01-02,TATACOMM,True
2015-01-02,TATAGLOBAL,True
2015-01-02,TATAMOTORS,True
2015-01-02,TATAPOWER,True
2015-01-02,TATASTEEL,True
2015-01-02,TCS,True
2015-01-02,TECHM,True
2015-01-02,THERMAX,True
2015-01-02,TITAN,True
2015-01-02,TORNTPHARM,True
2015-01-02,TORNTPOWER,True
2015-01-02,TV18BRDCST,True
2015-01-02,TVSMOTOR,True
2015-01-02,UBL,True
2015-01-02,UCOBANK,True
2015-01-02,ULTRACEMCO,True
2015-01-02,UNIONBANK,True
2015-01-02,UNITECH,True
2015-01-02,UPL,True
2015-01-02,VAKRANGEE,True
2015-01-02,VOLTAS,True
2015-01-02,WABAG,True
2015-01-02,WIPRO,True
2015-01-02,WOCKPHARMA,True
2015-01-02,YESBANK,True
2015-01-02,ZEEL,True
2015-01-09,ABB,True
2015-01-09,ABIRLANUVO,True
2015-01-09,ACC,True
2015-01-09,ADANIENT,True
2015-01-09,ADANIPORTS,True
2015-01-09,AIAENG,True
2015-01-09,ALBK,True
2015-01-09,AMARAJABAT,True
2015-01-09,AMBUJACEM,True
2015-01-09,AMTEKAUTO,True
2015-01-09,ANDHRABANK,True
2015-01-09,APLLTD,True
2015-01-09,APOLLOHOSP,True
2015-01-09,APOLLOTYRE,True
2015-01-09,ARVIND,True
2015-01-09,ASHOKLEY,True
2015-01-09,ASIANPAINT,True
2015-01-09,AUROPHARMA,True
2015-01-09,AXISBANK,True
2015-01-09,BAJAJ-AUTO,True
2015-01-09,BAJFINANCE,True
2015-01-09,BANKBARODA,True
2015-01-09,BANKINDIA,True
2015-01-09,BATAINDIA,True
2015-01-09,BEL,True
2015-01-09,BHARATFORG,True
2015-01-09,BHARTIARTL,True
2015-01-09,BHEL,True
2015-01-09,BIOCON,True
2015-01-09,BOSCHLTD,True
2015-01-09,BPCL,True
2015-01-09,BRITANNIA,True
2015-01-09,CADILAHC,True
2015-01-09,CAIRN,True
2015-01-09,CANBK,True
2015-01-09,CARERATING,True
2015-01-09,CASTROLIND,True
2015-01-09,CENTURYTEX,True
2015-01-09,CESC,True
2015-01-09,CIPLA,True
2015-01-09,CMC,True
2015-01-09,COALINDIA,True
2015-01-09,COLPAL,True
2015-01-09,CONCOR,True
2015-01-09,CROMPGREAV,True
2015-01-09,CUMMINSIND,True
2015-01-09,DABUR,True
2015-01-09,DCBBANK,True
2015-01-09,DELTACORP,True
2015-01-09,DHFL,True
2015-01-09,DIVISLAB,True
2015-01-09,DLF,True
2015-01-09,DRREDDY,True
2015-01-09,EDELWEISS,True
2015-01-09,EICHERMOT,True
2015-01-09,EMAMILTD,True
2015-01-09,ENGINERSIN,True
2015-01-09,EXIDEIND,True
2015-01-09,FEDERALBNK,True
2015-01-09,GAIL,True
2015-01-09,GLAXO,True
2015-01-09,GLENMARK,True
2015-01-09,GMRINFRA,True
2015-01-09,GODREJCP,True
2015-01-09,GODREJIND,True
2015-01-09,GPPL,True
2015-01-09,GRASIM,True
2015-01-09,GSPL,True
2015-01-09,HAVELLS,True
2015-01-09,HCLTECH,True
2015-01-09,HDFC,True
2015-01-09,HDFCBANK,True
2015-01-09,HDIL,True
2015-01-09,HEROMOTOCO,True
2015-01-09,HEXAWARE,True
2015-01-09,HINDALCO,True
2015-01-09,HINDPETRO,True
2015-01-09,HINDUNILVR,True
2015-01-09,IBREALEST,True
2015-01-09,IBULHSGFIN,True
2015-01-09,ICICIBANK,True
2015-01-09,IDBI,True
2015-01-09,IDEA,True
2015-01-09,IDFC,True
2015-01-09,IFCI,True
2015-01-09,IGL,True
2015-01-09,INDHOTEL,True
2015-01-09,INDIACEM,True
2015-01-09,INDIANB,True
2015-01-09,INDUSINDBK,True
2015-01-09,INFRATEL,True
2015-01-09,INFY,True
2015-01-09,INGVYSYABK,True
2015-01-09,IOB,True
2015-01-09,IOC,True
2015-01-09,IPCALAB,True
2015-01-09,IRB,True
2015-01-09,ITC,True
2015-01-09,J&KBANK,True
2015-01-09,JINDALSTEL,True
2015-01-09,JISLJALEQS,True
2015-01-09,JPASSOCIAT,True
2015-01-09,JPPOWER,True
2015-01-09,JSWENERGY,True
2015-01-09,JSWSTEEL,True
2015-01-09,JUBLFOOD,True
2015-01-09,JUSTDIAL,True
2015-01-09,KARURVYSYA,True
2015-01-09,KOTAKBANK,True
2015-01-09,KPIT,True
2015-01-09,KSCL,True
2015-01-09,KTKBANK,True
2015-01-09,L&TFH,True
2015-01-09,LICHSGFIN,True
2015-01-09,LT,True
2015-01-09,LUPIN,True
2015-01-09,M&M,True
2015-01-09,M&MFIN,True
2015-01-09,MARICO,True
2015-01-09,MARUTI,True
2015-01-09,MAX,True
2015-01-09,MCLEODRUSS,True
2015-01-09,MINDTREE,True
2015-01-09,MOTHERSUMI,True
2015-01-09,MPHASIS,True
2015-01-09,MRF,True
2015-01-09,MUTHOOTFIN,True
2015-01-09,NATIONALUM,True
2015-01-09,NAUKRI,True
2015-01-09,NHPC,True
2015-01-09,NIITTECH,True
2015-01-09,NMDC,True
2015-01-09,NTPC,True
2015-01-09,OBEROIRLTY,True
2015-01-09,OFSS,True
2015-01-09,OIL,True
2015-01-09,ONGC,True
2015-01-09,ORIENTBANK,True
2015-01-09,PAGEIND,True
2015-01-09,PEL,True
2015-01-09,PERSISTENT,True
2015-01-09,PETRONET,True
2015-01-09,PFC,True
2015-01-09,PIDILITIND,True
2015-01-09,PIPAVAVDOC,True
2015-01-09,PNB,True
2015-01-09,POWERGRID,True
2015-01-09,PRESTIGE,True
2015-01-09,PTC,True
2015-01-09,RALLIS,True
2015-01-09,RAMCOCEM,True
2015-01-09,RAYMOND,True
2015-01-09,RCOM,True
2015-01-09,RECLTD,True
2015-01-09,RELCAPITAL,True
2015-01-09,RELIANCE,True
2015-01-09,RELINFRA,True
2015-01-09,REPCOHOME,True
2015-01-09,RPOWER,True
2015-01-09,SAIL,True
2015-01-09,SBIN,True
2015-01-09,SHREECEM,True
2015-01-09,SIEMENS,True
2015-01-09,SKSMICRO,True
2015-01-09,SOBHA,True
2015-01-09,SOUTHBANK,True
2015-01-09,SRTRANSFIN,True
2015-01-09,SSLT,True
2015-01-09,STAR,True
2015-01-09,SUNPHARMA,True
2015-01-09,SUNTV,True
2015-01-09,SUZLON,True
2015-01-09,SYNDIBANK,True
2015-01-09,TATACHEM,True
2015-01-09,TATACOMM,True
2015-01-09,TATAGLOBAL,True
2015-01-09,TATAMOTORS,True
2015-01-09,TATAPOWER,True
2015-01-09,TATASTEEL,True
2015-01-09,TCS,True
2015-01-09,TECHM,True
2015-01-09,THERMAX,True
2015-01-09,TITAN,True
2015-01-09,TORNTPHARM,True
2015-01-09,TORNTPOWER,True
2015-01-09,TV18BRDCST,True
2015-01-09,TVSMOTOR,True
2015-01-09,UBL,True
2015-01-09,UCOBANK,True
2015-01-09,ULTRACEMCO,True
2015-01-09,UNIONBANK,True
2015-01-09,UNITECH,True
2015-01-09,UPL,True
2015-01-09,VAKRANGEE,True
2015-01-09,VOLTAS,True
2015-01-09,WABAG,True
2015-01-09,WIPRO,True
2015-01-09,WOCKPHARMA,True
2015-01-09,YESBANK,True
2015-01-09,ZEEL,True
2015-01-16,ABB,True
2015-01-16,ABIRLANUVO,True
2015-01-16,ACC,True
2015-01-16,ADANIENT,True
2015-01-16,ADANIPORTS,True
2015-01-16,AIAENG,True
2015-01-16,ALBK,True
2015-01-16,AMARAJABAT,True
2015-01-16,AMBUJACEM,True
2015-01-16,AMTEKAUTO,True
2015-01-16,ANDHRABANK,True
2015-01-16,APLLTD,True
2015-01-16,APOLLOHOSP,True
2015-01-16,APOLLOTYRE,True
2015-01-16,ARVIND,True
2015-01-16,ASHOKLEY,True
2015-01-16,ASIANPAINT,True
2015-01-16,AUROPHARMA,True
2015-01-16,AXISBANK,True
2015-01-16,BAJAJ-AUTO,True
2015-01-16,BAJFINANCE,True
2015-01-16,BANKBARODA,True
2015-01-16,BANKINDIA,True
2015-01-16,BATAINDIA,True
2015-01-16,BEL,True
2015-01-16,BHARATFORG,True
2015-01-16,BHARTIARTL,True
2015-01-16,BHEL,True
2015-01-16,BIOCON,True
2015-01-16,BOSCHLTD,True
2015-01-16,BPCL,True
2015-01-16,BRITANNIA,True
2015-01-16,CADILAHC,True
2015-01-16,CAIRN,True
2015-01-16,CANBK,True
2015-01-16,CARERATING,True
2015-01-16,CASTROLIND,True
2015-01-16,CENTURYTEX,True
2015-01-16,CESC,True
2015-01-16,CIPLA,True
2015-01-16,CMC,True
2015-01-16,COALINDIA,True
2015-01-16,COLPAL,True
2015-01-16,CONCOR,True
2015-01-16,CROMPGREAV,True
2015-01-16,CUMMINSIND,True
2015-01-16,DABUR,True
2015-01-16,DCBBANK,True
2015-01-16,DELTACORP,True
2015-01-16,DHFL,True
2015-01-16,DIVISLAB,True
2015-01-16,DLF,True
2015-01-16,DRREDDY,True
2015-01-16,EDELWEISS,True
2015-01-16,EICHERMOT,True
2015-01-16,EMAMILTD,True
2015-01-16,ENGINERSIN,True
2015-01-16,EXIDEIND,True
2015-01-16,FEDERALBNK,True
2015-01-16,GAIL,True
2015-01-16,GLAXO,True
2015-01-16,GLENMARK,True
2015-01-16,GMRINFRA,True
2015-01-16,GODREJCP,True
2015-01-16,GODREJIND,True
2015-01-16,GPPL,True
2015-01-16,GRASIM,True
2015-01-16,GSPL,True
2015-01-16,HAVELLS,True
2015-01-16,HCLTECH,True
2015-01-16,HDFC,True
2015-01-16,HDFCBANK,True
2015-01-16,HDIL,True
2015-01-16,HEROMOTOCO,True
2015-01-16,HEXAWARE,True
2015-01-16,HINDALCO,True
2015-01-16,HINDPETRO,True
2015-01-16,HINDUNILVR,True
2015-01-16,IBREALEST,True
2015-01-16,IBULHSGFIN,True
2015-01-16,ICICIBANK,True
2015-01-16,IDBI,True
2015-01-16,IDEA,True
2015-01-16,IDFC,True
2015-01-16,IFCI,True
2015-01-16,IGL,True
2015-01-16,INDHOTEL,True
2015-01-16,INDIACEM,True
2015-01-16,INDIANB,True
2015-01-16,INDUSINDBK,True
2015-01-16,INFRATEL,True
2015-01-16,INFY,True
2015-01-16,INGVYSYABK,True
2015-01-16,IOB,True
2015-01-16,IOC,True
2015-01-16,IPCALAB,True
2015-01-16,IRB,True
2015-01-16,ITC,True
2015-01-16,J&KBANK,True
2015-01-16,JINDALSTEL,True
2015-01-16,JISLJALEQS,True
2015-01-16,JPASSOCIAT,True
2015-01-16,JPPOWER,True
2015-01-16,JSWENERGY,True
2015-01-16,JSWSTEEL,True
2015-01-16,JUBLFOOD,True
2015-01-16,JUSTDIAL,True
2015-01-16,KARURVYSYA,True
2015-01-16,KOTAKBANK,True
2015-01-16,KPIT,True
2015-01-16,KSCL,True
2015-01-16,KTKBANK,True
2015-01-16,L&TFH,True
2015-01-16,LICHSGFIN,True
2015-01-16,LT,True
2015-01-16,LUPIN,True
2015-01-16,M&M,True
2015-01-16,M&MFIN,True
2015-01-16,MARICO,True
2015-01-16,MARUTI,True
2015-01-16,MAX,True
2015-01-16,MCLEODRUSS,True
2015-01-16,MINDTREE,True
2015-01-16,MOTHERSUMI,True
2015-01-16,MPHASIS,True
2015-01-16,MRF,True
2015-01-16,MUTHOOTFIN,True
2015-01-16,NATIONALUM,True
2015-01-16,NAUKRI,True
2015-01-16,NHPC,True
2015-01-16,NIITTECH,True
2015-01-16,NMDC,True
2015-01-16,NTPC,True
2015-01-16,OBEROIRLTY,True
2015-01-16,OFSS,True
2015-01-16,OIL,True
2015-01-16,ONGC,True
2015-01-16,ORIENTBANK,True
2015-01-16,PAGEIND,True
2015-01-16,PEL,True
2015-01-16,PERSISTENT,True
2015-01-16,PETRONET,True
2015-01-16,PFC,True
2015-01-16,PIDILITIND,True
2015-01-16,PIPAVAVDOC,True
2015-01-16,PNB,True
2015-01-16,POWERGRID,True
2015-01-16,PRESTIGE,True
2015-01-16,PTC,True
2015-01-16,RALLIS,True
2015-01-16,RAMCOCEM,True
2015-01-16,RAYMOND,True
2015-01-16,RCOM,True
2015-01-16,RECLTD,True
2015-01-16,RELCAPITAL,True
2015-01-16,RELIANCE,True
2015-01-16,RELINFRA,True
2015-01-16,REPCOHOME,True
2015-01-16,RPOWER,True
2015-01-16,SAIL,True
2015-01-16,SBIN,True
2015-01-16,SHREECEM,True
2015-01-16,SIEMENS,True
2015-01-16,SKSMICRO,True
2015-01-16,SOBHA,True
2015-01-16,SOUTHBANK,True
2015-01-16,SRTRANSFIN,True
2015-01-16,SSLT,True
2015-01-16,STAR,True
2015-01-16,SUNPHARMA,True
2015-01-16,SUNTV,True
2015-01-16,SUZLON,True
2015-01-16,SYNDIBANK,True
2015-01-16,TATACHEM,True
2015-01-16,TATACOMM,True
2015-01-16,TATAGLOBAL,True
2015-01-16,TATAMOTORS,True
2015-01-16,TATAPOWER,True
2015-01-16,TATASTEEL,True
2015-01-16,TCS,True
2015-01-16,TECHM,True
2015-01-16,THERMAX,True
2015-01-16,TITAN,True
2015-01-16,TORNTPHARM,True
2015-01-16,TORNTPOWER,True
2015-01-16,TV18BRDCST,True
2015-01-16,TVSMOTOR,True
2015-01-16,UBL,True
2015-01-16,UCOBANK,True
2015-01-16,ULTRACEMCO,True
2015-01-16,UNIONBANK,True
2015-01-16,UNITECH,True
