snapshot_date,official_count,replayed_count,missing_from_replay,extra_in_replay
2015-11-30,199,199,GDL,ABIRLANUVO
2015-12-31,199,199,,
2016-02-29,199,199,,
2016-03-31,199,199,RDEL,PIPAVAVDOC
2016-05-31,200,199,"ADANIENT,ARVIND,BEML,CENTRALBK,DISHTV,FORTIS,GESHIP,GLAXO,GUJFLUORO,HINDCOPPER,HINDZINC,IDFC,INDHOTEL,INDIANB,INOXWIND,IOB,JETAIRWAYS,JUBILANT,MMTC,MPHASIS,MUTHOOTFIN,NATIONALUM,NBCC,PCJEWELLER,PFIZER,PGHH,RAMCOCEM,SYNGENE,TATAELXSI,TATAMTRDVR,THERMAX,TORNTPOWER,TTKPRESTIG,UCOBANK,VIDEOIND,WELSPUNIND","ALSTOMT&D,AMTEKAUTO,ANDHRABANK,BALKRISIND,CARERATING,COX&KINGS,CUB,DCBBANK,GDL,HDIL,IBREALEST,IFCI,INDIACEM,J&KBANK,JISLJALEQS,JKLAKSHMI,JPASSOCIAT,KAJARIACER,KPIT,KSCL,KTKBANK,NCC,ORIENTBANK,PIIND,PTC,RALLIS,RAYMOND,RDEL,REPCOHOME,SADBHAV,SINTEX,SOBHA,SOUTHBANK,UNITECH,WABAG"
2016-06-30,200,200,,
2016-08-31,200,200,BHARATFIN,SKSMICRO
2016-09-30,200,200,"ABFRL,ABIRLANUVO,ALKEM,CHOLAFIN,COROMANDEL,IDFCBANK,INDIGO,MFSL,PIIND","ALBK,BEML,GESHIP,HINDCOPPER,MMTC,REDINGTON,TTKPRESTIG,UCOBANK,VIDEOIND"
2016-11-30,200,200,CROMPTON,CAIRN
2017-01-31,200,200,RBLBANK,MFSL
2017-02-28,200,200,,
2017-03-31,199,200,"DALMIABHA,EDELWEISS,ENDURANCE,ICICIPRULI,LALPATHLAB,LTTS,MANAPPURAM,QUESS","GUJFLUORO,IDBI,INOXWIND,IOB,JETAIRWAYS,JUSTDIAL,PERSISTENT,PFIZER,TATAELXSI"
2017-05-31,199,199,,
2017-06-30,199,199,,
2017-07-31,199,199,SRF,SUNPHARMA
2017-08-31,199,199,,
2017-10-31,199,199,"BALKRISIND,DMART,HUDCO,MFSL,MRPL","APLLTD,LTTS,QUESS,RELCAPITAL,THERMAX"
2017-11-30,199,199,,
2018-01-31,199,199,,
2018-02-28,199,199,"AUBANK,RELCAPITAL,VGUARD","CESC,FORTIS,STAR"
2018-04-30,198,199,"ABCAPITAL,DBL,FCONSUMER,GICRE,GODREJAGRO,GRASIM,IBREALEST,IBVENTURES,ICICIGI,SBILIFE,STRTECH","ADANIENT,CRISIL,DALMIABHA,GLAXO,GPPL,GSKCONS,ICICIPRULI,IPCALAB,LALPATHLAB,RCOM,SYNDIBANK,WELSPUNIND"
2018-05-31,198,198,,
2018-07-31,198,198,"FRETAIL,QUESS","ARVIND,TATACOMM"
2018-08-31,198,198,,
2018-10-31,197,198,"AVANTIFEED,BANDHANBNK,ESCORTS,GRAPHITE,HDFCLIFE,HEG,LTI,NIACL","AIAENG,EMAMILTD,HAVELLS,IBREALEST,IDFC,IRB,KARURVYSYA,SUZLON,WOCKPHARMA"
2018-11-30,197,197,,
2018-12-31,197,197,"BBTC,VARROC","BHARATFIN,CENTURYTEX"
2019-01-31,198,197,"HAVELLS,IDFCFIRSTB",IDFCBANK
2019-02-28,198,198,,
